Member,YoB,Gender,Country,Period Start,Period End
Jean-Claude Trichet,1942,M,France,2003,2011
Otmar Issing,1936,M,Germany,1998,2006
Lucas Papademos,1947,M,Greece,2002,2010
Lorenzo Bini Smaghi,1956,M,Italy,2005,2011
José Manuel González-Páramo,1958,M,Spain,2004,2012
Tommaso Padoa-Schioppa,1940,M,Italy,1998,2005
Mario Draghi,1947,M,Italy,2011,2019
Peter Praet,1949,M,Belgium,2011,2019
Benoît Cœuré,1969,M,France,2012,2019
Jörg Asmussen,1966,M,Germany,2012,2016
Yves Mersch,1949,M,Luxembourg,2012,2019
Vítor Constâncio,1943,M,Portugal,2010,2018
Sabine Lautenschläger,1964,F,Germany,2014,2019
Christine Lagarde,1956,F,France,2019,TBD
Luis de Guindos,1960,M,Spain,2018,TBD
Philip R. Lane,1969,M,Ireland,2019,TBD
Fabio Panetta,1959,M,Italy,2019,TBD
Isabel Schnabel,1971,F,Germany,2020,TBD
Frank Elderson,1970,M,Netherlands,2020,TBD
